"dt","region_code","operation_type","org_count","assortment","count_brand","cnt"
2022-02-24,"03",Маркировка остатков,1,1,1,1
2022-02-04,"63",Маркировка остатков,1,1,1,2
2021-11-23,"66",Маркировка остатков,7,98,10,547
2022-11-12,"64",РФ,1,2,1,2
2022-09-26,"54",Перемаркировка,1,1,1,8
2022-08-01,"47",Принято от физического лица,1,1,1,2
2022-07-31,"91",Маркировка остатков,1,1,1,1
2022-10-17,"79",Возврат,1,1,1,1
2022-07-13,"78",Возврат,7,39,31,40
2022-08-11,"55",Перемаркировка,1,2,2,8
2022-06-18,"38",Возврат,3,4,2,5
2022-06-07,"25",Маркировка остатков,1,1,1,1
2022-05-09,"05",Возврат,2,5,1,5
2022-09-11,"63",Маркировка остатков,1,1,1,1
2022-05-16,"77",Маркировка остатков,3,4,4,4
2022-06-27,"16",Возврат,2,3,2,3
2021-12-02,"91",Возврат,1,2,2,2
2022-03-14,"91",Маркировка остатков,1,14,12,19
2022-07-05,"21",Возврат,1,1,1,1
2022-08-20,"50",РФ,2,58,3,35773
2021-12-06,"23",Возврат,1,35,22,46
2021-11-30,"51",Маркировка остатков,1,1,1,1
2022-01-20,"18",Перемаркировка,1,8,1,150
2022-03-10,"54",Импорт. Не ЕАЭС,1,1,1,1
2022-05-25,"61",Возврат,1,1,1,1
2022-03-13,"54",Перемаркировка,1,3,3,3
2021-12-20,"31",Маркировка остатков,2,2,2,2
2022-09-28,"33",Возврат,1,1,1,1
2022-06-01,"77",Импорт. Не ЕАЭС,10,203,40,28156
2022-01-01,"23",Возврат,1,39,24,51
2022-07-30,"65",Маркировка остатков,1,1,1,1
2022-05-29,"77",Перемаркировка,8,39,16,133
2022-06-05,"74",Маркировка остатков,1,1,1,1
2022-06-23,"50",Перемаркировка,2,26,2,110
2022-05-12,"72",Возврат,1,1,1,1
2022-05-28,"16",Возврат,1,2,2,2
2022-01-21,"64",РФ,1,1,1,48
2022-01-05,"91",Возврат,2,3,3,3
2021-12-01,"54",Возврат,2,2,2,2
2022-07-07,"51",Перемаркировка,1,9,8,18
2022-06-28,"38",Маркировка остатков,1,1,1,1
2022-11-08,"66",Импорт. Не ЕАЭС,1,1,1,1
2022-02-22,"52",Маркировка остатков,1,1,1,1
2022-02-02,"32",Маркировка остатков,1,1,1,1
2022-06-16,"58",Маркировка остатков,1,2,1,6
2022-04-13,"05",Возврат,1,2,1,2
2022-03-11,"65",Перемаркировка,1,1,1,1
2022-11-05,"66",Перемаркировка,1,12,10,26
2022-07-10,"56",Возврат,1,1,1,1
2022-07-26,"38",Возврат,3,3,3,3
2022-07-05,"77",РФ,3,64,4,160
2021-12-22,"60",Маркировка остатков,1,1,1,1
2022-03-15,"69",Возврат,2,3,2,5
2022-09-16,"65",Перемаркировка,1,1,1,1
2021-12-15,"66",Перемаркировка,2,10,9,11
2021-12-28,"66",Импорт. Не ЕАЭС,1,9,1,1056
2022-06-13,"78",Возврат,5,83,53,86
2022-04-24,"38",Импорт. Не ЕАЭС,1,1,1,8
2022-06-16,"43",Маркировка остатков,2,2,2,2
2022-07-28,"64",Перемаркировка,1,2,1,2
2022-03-01,"67",Импорт. ЕАЭС,1,13,2,1336
2022-11-21,"37",Маркировка остатков,1,1,1,1
2022-06-28,"23",Маркировка остатков,1,1,1,1
2022-09-26,"28",Перемаркировка,1,1,1,20
2022-02-22,"49",Маркировка остатков,1,1,1,7
2022-03-29,"53",Перемаркировка,1,4,4,4
2021-12-19,"36",Маркировка остатков,1,1,1,1
2022-03-18,"33",Маркировка остатков,1,1,1,1
2022-01-25,"53",Маркировка остатков,1,1,1,1
2022-06-08,"39",Маркировка остатков,1,1,1,1
2022-03-16,"22",Перемаркировка,1,9,2,93
2022-07-07,"16",Импорт. Не ЕАЭС,1,1,1,1
2022-06-26,"16",Перемаркировка,1,11,9,19
2022-09-22,"58",Возврат,3,7,1,7
2022-01-20,"23",Импорт. Не ЕАЭС,1,4,1,27
2022-08-14,"18",Возврат,1,1,1,1
2022-04-24,"77",Возврат,16,92,57,96
2022-07-27,"33",Маркировка остатков,2,2,2,2
2022-04-24,"47",Маркировка остатков,1,1,1,1
2022-04-20,"33",Перемаркировка,1,7,5,38
2021-11-25,"66",Возврат,1,46,31,48
2022-07-22,"42",Маркировка остатков,1,1,1,1
2022-07-28,"23",Импорт. Не ЕАЭС,1,4,1,63
2021-12-22,"26",Возврат,4,4,4,4
2022-07-12,"64",Возврат,2,4,3,5
2022-09-06,"36",Возврат,1,2,2,4
2022-03-30,"37",Возврат,1,1,1,1
2022-08-08,"23",Перемаркировка,1,1,1,1
2022-10-24,"52",Возврат,2,2,2,2
2022-07-20,"53",Возврат,1,5,4,5
2022-02-08,"42",Возврат,2,2,2,2
2021-12-30,"11",Возврат,1,1,1,1
2022-03-17,"02",Возврат,1,1,1,1
2021-11-24,"61",Маркировка остатков,2,4,4,5
2022-09-27,"22",Перемаркировка,1,1,1,1
2022-06-27,"24",Маркировка остатков,1,1,1,1
2022-09-29,"50",Маркировка остатков,3,4,2,11
2021-12-17,"51",Возврат,1,2,2,2
2022-06-15,"44",Маркировка остатков,1,2,1,3
2022-02-11,"02",Возврат,2,3,2,4
2022-04-06,"02",Перемаркировка,1,1,1,1
2022-03-06,"42",Возврат,2,3,3,4
2021-11-22,"11",Возврат,1,1,1,1
2022-01-21,"78",РФ,1,1,1,10
2022-08-11,"36",Возврат,2,4,1,4
2022-06-16,"64",Возврат,1,1,1,1
2022-08-22,"78",Импорт. Не ЕАЭС,1,19,1,3144
2022-08-19,"78",Перемаркировка,3,23,18,34
2022-02-03,"35",Возврат,1,1,1,1
2021-12-21,"67",Маркировка остатков,1,1,1,1
2022-05-17,"24",Перемаркировка,1,1,1,1
2021-12-25,"66",Возврат,3,33,20,34
2022-08-03,"74",РФ,1,54,5,5363
2022-03-25,"77",Возврат,25,282,70,642
2022-09-01,"76",Возврат,1,1,1,1
2022-07-23,"24",Возврат,2,2,2,2
2022-01-27,"02",Маркировка остатков,1,1,1,1
2022-09-17,"18",Возврат,1,2,2,2
2022-02-03,"78",Перемаркировка,3,306,100,607
2022-02-16,"78",Импорт. Не ЕАЭС,1,17,1,1974
2022-01-13,"50",Маркировка остатков,6,6,2,11
2022-03-03,"34",Перемаркировка,2,2,2,4
2022-04-06,"56",РФ,1,24,1,25
2022-05-23,"59",Возврат,1,1,1,1
2022-08-27,"58",Возврат,4,5,2,5
2022-05-24,"91",Перемаркировка,1,39,28,11566
2022-04-10,"76",Маркировка остатков,1,1,1,1
2022-01-23,"12",Перемаркировка,1,1,1,10
2022-06-22,"26",Перемаркировка,1,1,1,100
2021-12-05,"54",Перемаркировка,1,2,2,3
2022-02-04,"27",Маркировка остатков,1,1,1,2
2022-08-01,"57",Перемаркировка,1,1,1,1
2022-01-14,"42",Маркировка остатков,1,1,1,1
2022-02-24,"47",Маркировка остатков,1,1,1,18
2022-08-18,"52",Импорт. ЕАЭС,1,3,1,45
2021-11-28,"87",Маркировка остатков,1,2,2,2
2022-02-14,"48",Возврат,1,1,1,1
2022-07-14,"59",Возврат,2,3,3,3
2022-10-18,"58",Возврат,1,1,1,1
2022-03-30,"56",РФ,1,21,1,25
2022-06-07,"61",Маркировка остатков,1,1,1,1
2022-03-11,"08",Возврат,1,2,2,2
2022-09-18,"10",Маркировка остатков,1,1,1,1
2022-09-27,"39",Импорт. ЕАЭС,1,10,1,584
2022-10-28,"19",Перемаркировка,1,1,1,1
2022-01-14,"59",Маркировка остатков,1,2,1,4
2022-05-16,"33",Маркировка остатков,4,5,2,8
